2025-02-25 11:44:53.635524,bryan marin,1,0.06,direct_match
2025-02-25 11:45:41.136771,i am writing a thesis about mexican health who should i ask to be my advisor,5,0.10,author_match
2025-02-25 11:46:34.498527,mike izbicki,15,0.07,direct_match
2025-02-25 11:47:39.982313,i am writing a thesis about mexican health who should be my advisor,13,0.09,keyword_match
2025-02-25 11:56:28.585229,bryan marin,1,0.06,direct_match
2025-02-25 11:56:37.550205,thesis written by bryan marin,7,0.07,author_match
2025-02-25 12:00:56.002589,thesis created by bryan marin,7,0.07,author_match
2025-02-25 13:22:34.747459,mike izbicki,15,0.06,direct_match
2025-02-25 13:23:48.053389,thesis from 2020,1,0.07,keyword_match
2025-02-25 13:27:07.491444,bryan marin thesis,7,0.06,author_match
2025-02-25 13:29:17.004966,mike izbicki,15,0.07,direct_match
2025-02-25 13:31:42.042340,mike izbicki,15,0.06,direct_match
2025-02-25 14:27:27.855667,mike izbicki,15,0.06,direct_match
2025-02-25 17:27:42.932195,mike izbicki,15,0.04,direct_match
2025-02-25 23:42:53.113670,bryan marin,0,0.02,llm
2025-02-25 23:43:15.625208,Bryan Marin,0,0.84,llm
2025-02-25 23:43:19.690770,bryan  marin,0,0.55,llm
2025-02-25 23:43:44.290256,mike izbicki,0,19.91,llm
